PMI_ID,Action,Success,Error,Last_Modified_Time
P000785,Create,1,,2019-05-28 16:22:04
P000569,Create,1,,2019-05-28 16:22:05
P000134,Create,1,,2019-05-28 16:22:06
P000077,Create,1,,2019-05-28 16:22:07
P000553,Create,1,,2019-05-28 16:22:07
P000383,Create,1,,2019-05-28 16:22:08
P000264,Create,1,,2019-05-28 16:22:09
P000983,Create,1,,2019-05-28 16:22:10
P000639,Create,1,,2019-05-28 16:22:11
P000134,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GWW,2019-05-28 16:22:11
P000858,Create,1,,2019-05-28 16:22:12
P000605,Create,1,,2019-05-28 16:22:13
P000558,Create,1,,2019-05-28 16:22:14
P000947,Create,1,,2019-05-28 16:22:15
P000250,Create,1,,2019-05-28 16:22:16
P000268,Create,1,,2019-05-28 16:22:16
P000149,Create,1,,2019-05-28 16:22:17
P000525,Create,1,,2019-05-28 16:22:18
P000701,Create,1,,2019-05-28 16:22:19
P000922,Create,1,,2019-05-28 16:22:20
P000813,Create,1,,2019-05-28 16:22:21
P0002,Create,1,,2019-05-28 16:22:21
P000229,Create,1,,2019-05-28 16:22:22
P000975,Create,1,,2019-05-28 16:22:23
P000292,Create,1,,2019-05-28 16:22:23
P000434,Create,1,,2019-05-28 16:22:24
P000563,Create,1,,2019-05-28 16:22:25
P000609,Create,1,,2019-05-28 16:22:26
P000290,Create,1,,2019-05-28 16:22:26
P000374,Create,1,,2019-05-28 16:22:27
