PMI_ID,Action,Success,Error,Last_Modified_Time
P000000001,Create,1,,2019-05-28 15:50:41
P000000001,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GAu,2019-05-28 15:50:41
P000000003,Create,1,,2019-05-28 15:50:42
P000000005,Create,1,,2019-05-28 15:50:43
P000000006,Create,1,,2019-05-28 15:50:44
P000000008,Create,1,,2019-05-28 15:50:46
P000000009,Create,1,,2019-05-28 15:50:47
P000000010,Create,1,,2019-05-28 15:50:48
P000000010,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GBT,2019-05-28 15:50:48
P000000011,Create,1,,2019-05-28 15:50:49
P000000013,Create,1,,2019-05-28 15:50:49
P000000013,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GBi,2019-05-28 15:50:50
P000000013,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GBi,2019-05-28 15:50:50
P000000014,Create,1,,2019-05-28 15:50:51
P000000015,Create,1,,2019-05-28 15:50:51
P000000015,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GC2,2019-05-28 15:50:52
P000000015,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GC2,2019-05-28 15:50:52
P000000021,Create,1,,2019-05-28 15:50:53
P000000022,Create,1,,2019-05-28 15:50:54
P000000022,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GCM,2019-05-28 15:50:54
P000000023,Create,1,,2019-05-28 15:50:55
P000000023,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GBo,2019-05-28 15:50:56
P000000024,Create,1,,2019-05-28 15:50:57
P000000025,Create,1,,2019-05-28 15:50:57
P000000025,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GCg,2019-05-28 15:50:58
P000000026,Create,1,,2019-05-28 15:50:59
P000000029,Create,1,,2019-05-28 15:51:00
P000000031,Create,1,,2019-05-28 15:51:01
P000000031,Create,0,Error message:duplicate value found: HP_PMI_ID__c duplicates value on record with id: 003m000001B8GD0,2019-05-28 15:51:01
P000000032,Create,1,,2019-05-28 15:51:02
